MD,INC,AZI
8680,76.38,345
8690,76.68,345
8700,76.98,345
8710,77.28,345
8720,77.58,345
8730,77.88,345
8740,78.18,345
8750,78.48,345
8760,78.78,345
8770,79.08,345
8780,79.38,345
8790,79.68,345
8800,79.98,345
8810,80.28,345
8820,80.58,345
8830,80.88,345
8840,81.18,345
8850,81.48,345
8860,81.78,345
8870,82.08,345
8880,82.38,345
8890,82.68,345
8900,82.98,345
8910,83.28,345
8920,83.58,345
8930,83.88,345
8940,84.18,345
8950,84.48,345
8960,84.78,345
8970,85.08,345
8980,85.38,345
8990,85.68,345
9000,85.98,345
9010,86.28,345
9020,86.58,345
9030,86.88,345
9040,87.18,345
9050,87.48,345
9060,87.78,345
9067.28,88,345
9070,88.03,345.03
9080,88.15,345.12
9090,88.27,345.21
9100,88.39,345.3
9110,88.5,345.39
9120,88.62,345.49
9130,88.74,345.58
9140,88.86,345.67
9150,88.98,345.76
9160,89.1,345.86
9170,89.21,345.95
9180,89.33,346.04
9190,89.45,346.13
9200,89.57,346.23
9202.28,89.6,346.25
9210,89.48,346.27
9220,89.34,346.3
9230,89.19,346.33
9238.26,89.07,346.36
9240,89.07,346.36
9250,89.07,346.36
9260,89.07,346.36
9270,89.07,346.36
9280,89.07,346.36
9290,89.07,346.36
9300,89.07,346.36
9310,89.07,346.36
9320,89.07,346.36
9330,89.07,346.36
9340,89.07,346.36
9350,89.07,346.36
9360,89.07,346.36
9370,89.07,346.36
9380,89.07,346.36
9390,89.07,346.36
9400,89.07,346.36
9410,89.07,346.36
9420,89.07,346.36
9430,89.07,346.36
9440,89.07,346.36
9450,89.07,346.36
9460,89.07,346.36
9470,89.07,346.36
9480,89.07,346.36
9490,89.07,346.36
9500,89.07,346.36
9510,89.07,346.36
9520,89.07,346.36
9530,89.07,346.36
9540,89.07,346.36
9550,89.07,346.36
9560,89.07,346.36
9570,89.07,346.36
9580,89.07,346.36
9590,89.07,346.36
9600,89.07,346.36
9610,89.07,346.36
9620,89.07,346.36
9630,89.07,346.36
9640,89.07,346.36
9650,89.07,346.36
9660,89.07,346.36
9670,89.07,346.36
9680,89.07,346.36
9690,89.07,346.36
9700,89.07,346.36
9710,89.07,346.36
9720,89.07,346.36
9730,89.07,346.36
9740,89.07,346.36
9750,89.07,346.36
9760,89.07,346.36
9770,89.07,346.36
9780,89.07,346.36
9790,89.07,346.36
9800,89.07,346.36
9810,89.07,346.36
9820,89.07,346.36
9830,89.07,346.36
9840,89.07,346.36
9850,89.07,346.36
9860,89.07,346.36
9870,89.07,346.36
9880,89.07,346.36
9890,89.07,346.36
9900,89.07,346.36
9910,89.07,346.36
9920,89.07,346.36
9930,89.07,346.36
9940,89.07,346.36
9950,89.07,346.36
9960,89.07,346.36
9970,89.07,346.36
9980,89.07,346.36
9990,89.07,346.36
10000,89.07,346.36
10010,89.07,346.36
10020,89.07,346.36
10030,89.07,346.36
10040,89.07,346.36
10050,89.07,346.36
10060,89.07,346.36
10070,89.07,346.36
10080,89.07,346.36
10090,89.07,346.36
10100,89.07,346.36
10110,89.07,346.36
10120,89.07,346.36
10130,89.07,346.36
10140,89.07,346.36
10150,89.07,346.36
10160,89.07,346.36
10170,89.07,346.36
10180,89.07,346.36
10190,89.07,346.36
10200,89.07,346.36
10210,89.07,346.36
10220,89.07,346.36
10230,89.07,346.36
10240,89.07,346.36
10250,89.07,346.36
10260,89.07,346.36
10270,89.07,346.36
10280,89.07,346.36
10290,89.07,346.36
10300,89.07,346.36
10310,89.07,346.36
10320,89.07,346.36
10330,89.07,346.36
10340,89.07,346.36
10350,89.07,346.36
10360,89.07,346.36
10370,89.07,346.36
10380,89.07,346.36
10390,89.07,346.36
10400,89.07,346.36
10410,89.07,346.36
10420,89.07,346.36
10430,89.07,346.36
10440,89.07,346.36
10450,89.07,346.36
10460,89.07,346.36
10470,89.07,346.36
10480,89.07,346.36
10490,89.07,346.36
10500,89.07,346.36
10510,89.07,346.36
10520,89.07,346.36
10530,89.07,346.36
10540,89.07,346.36
10550,89.07,346.36
10560,89.07,346.36
10570,89.07,346.36
10580,89.07,346.36
10590,89.07,346.36
10600,89.07,346.36
10610,89.07,346.36
10620,89.07,346.36
10630,89.07,346.36
10640,89.07,346.36
10650,89.07,346.36
10660,89.07,346.36
10670,89.07,346.36
10680,89.07,346.36
10690,89.07,346.36
10700,89.07,346.36
10710,89.07,346.36
10720,89.07,346.36
10730,89.07,346.36
10740,89.07,346.36
10750,89.07,346.36
10760,89.07,346.36
10770,89.07,346.36
10780,89.07,346.36
10790,89.07,346.36
10800,89.07,346.36
10810,89.07,346.36
10820,89.07,346.36
10830,89.07,346.36
10840,89.07,346.36
10850,89.07,346.36
10860,89.07,346.36
10870,89.07,346.36
10880,89.07,346.36
10890,89.07,346.36
10900,89.07,346.36
10910,89.07,346.36
10920,89.07,346.36
10930,89.07,346.36
10940,89.07,346.36
10950,89.07,346.36
10960,89.07,346.36
10970,89.07,346.36
10980,89.07,346.36
10990,89.07,346.36
11000,89.07,346.36
11010,89.07,346.36
11020,89.07,346.36
11030,89.07,346.36
11040,89.07,346.36
11050,89.07,346.36
11060,89.07,346.36
11070,89.07,346.36
11080,89.07,346.36
11090,89.07,346.36
11100,89.07,346.36
11110,89.07,346.36
11120,89.07,346.36
11130,89.07,346.36
11140,89.07,346.36
11150,89.07,346.36
11160,89.07,346.36
11170,89.07,346.36
11180,89.07,346.36
11190,89.07,346.36
11200,89.07,346.36
11210,89.07,346.36
11220,89.07,346.36
11230,89.07,346.36
11240,89.07,346.36
11250,89.07,346.36
11260,89.07,346.36
11270,89.07,346.36
11280,89.07,346.36
11290,89.07,346.36
11300,89.07,346.36
11310,89.07,346.36
11320,89.07,346.36
11330,89.07,346.36
11340,89.07,346.36
11350,89.07,346.36
11360,89.07,346.36
11370,89.07,346.36
11380,89.07,346.36
11390,89.07,346.36
11400,89.07,346.36
11410,89.07,346.36
11420,89.07,346.36
11430,89.07,346.36
11440,89.07,346.36
11450,89.07,346.36
11460,89.07,346.36
11470,89.07,346.36
11480,89.07,346.36
11490,89.07,346.36
11500,89.07,346.36
11510,89.07,346.36
11520,89.07,346.36
11530,89.07,346.36
11540,89.07,346.36
11550,89.07,346.36
11560,89.07,346.36
11570,89.07,346.36
11580,89.07,346.36
11590,89.07,346.36
11600,89.07,346.36
11610,89.07,346.36
11620,89.07,346.36
11630,89.07,346.36
11640,89.07,346.36
11650,89.07,346.36
11660,89.07,346.36
11670,89.07,346.36
11680,89.07,346.36
11690,89.07,346.36
11700,89.07,346.36
11710,89.07,346.36
11720,89.07,346.36
11730,89.07,346.36
11740,89.07,346.36
11750,89.07,346.36
11760,89.07,346.36
11770,89.07,346.36
11780,89.07,346.36
11790,89.07,346.36
11800,89.07,346.36
11810,89.07,346.36
11820,89.07,346.36
11830,89.07,346.36
11840,89.07,346.36
11850,89.07,346.36
11860,89.07,346.36
11870,89.07,346.36
11880,89.07,346.36
11890,89.07,346.36
11900,89.07,346.36
11910,89.07,346.36
11920,89.07,346.36
11930,89.07,346.36
11940,89.07,346.36
11950,89.07,346.36
11960,89.07,346.36
11970,89.07,346.36
11980,89.07,346.36
11990,89.07,346.36
12000,89.07,346.36
12010,89.07,346.36
12020,89.07,346.36
12030,89.07,346.36
12040,89.07,346.36
12050,89.07,346.36
12060,89.07,346.36
12070,89.07,346.36
12080,89.07,346.36
12090,89.07,346.36
12100,89.07,346.36
12110,89.07,346.36
12120,89.07,346.36
12130,89.07,346.36
12140,89.07,346.36
12150,89.07,346.36
12160,89.07,346.36
12170,89.07,346.36
12180,89.07,346.36
12190,89.07,346.36
12200,89.07,346.36
12210,89.07,346.36
12220,89.07,346.36
12230,89.07,346.36
12240,89.07,346.36
12250,89.07,346.36
12260,89.07,346.36
12260.11,89.07,346.36
12270,89.17,346.36
12280,89.27,346.36
12290,89.37,346.37
12300,89.47,346.37
12303.43,89.5,346.37
12310,89.57,346.37
12320,89.67,346.38
12330,89.77,346.38
12340,89.87,346.39
12342.76,89.89,346.39
12350,89.89,346.39
12360,89.89,346.39
12370,89.89,346.39
12380,89.89,346.39
12390,89.89,346.39
12400,89.89,346.39
12410,89.89,346.39
12420,89.89,346.39
12430,89.89,346.39
12440,89.89,346.39
12450,89.89,346.39
12460,89.89,346.39
12470,89.89,346.39
12480,89.89,346.39
12490,89.89,346.39
12500,89.89,346.39
12510,89.89,346.39
12520,89.89,346.39
12530,89.89,346.39
12540,89.89,346.39
12550,89.89,346.39
12560,89.89,346.39
12570,89.89,346.39
12580,89.89,346.39
12590,89.89,346.39
12600,89.89,346.39
12610,89.89,346.39
12620,89.89,346.39
12630,89.89,346.39
12640,89.89,346.39
12650,89.89,346.39
12660,89.89,346.39
12670,89.89,346.39
12680,89.89,346.39
12690,89.89,346.39
12700,89.89,346.39
12710,89.89,346.39
12720,89.89,346.39
12730,89.89,346.39
12740,89.89,346.39
12750,89.89,346.39
12760,89.89,346.39
12770,89.89,346.39
12780,89.89,346.39
12790,89.89,346.39
12800,89.89,346.39
12810,89.89,346.39
12820,89.89,346.39
12830,89.89,346.39
12840,89.89,346.39
12850,89.89,346.39
12860,89.89,346.39
12870,89.89,346.39
12880,89.89,346.39
12890,89.89,346.39
